,C,K,Validation,Test,Normalized
157,2.848035868435802,2,0.798,0.821,False
158,3.2745491628777286,2,0.796,0.815,False
159,3.7649358067924674,2,0.796,0.817,False
160,4.328761281083062,2,0.8,0.816,False
161,4.9770235643321135,2,0.794,0.812,False
162,5.72236765935022,2,0.788,0.808,False
163,6.5793322465756825,2,0.784,0.809,False
164,7.56463327554629,2,0.784,0.807,False
165,8.697490026177835,2,0.782,0.812,False
166,10.0,2,0.79,0.813,False
167,11.497569953977356,2,0.794,0.811,False
168,13.219411484660288,2,0.794,0.808,False
169,15.199110829529332,2,0.794,0.806,False
170,17.47528400007683,2,0.796,0.807,False
171,20.09233002565046,2,0.796,0.807,False
172,23.10129700083158,2,0.796,0.808,False
173,26.560877829466893,2,0.798,0.809,False
174,30.538555088334185,2,0.798,0.806,False
175,35.111917342151344,2,0.798,0.807,False
176,40.37017258596558,2,0.798,0.807,False
177,46.41588833612782,2,0.798,0.807,False
178,53.366992312063125,2,0.798,0.807,False
179,61.35907273413176,2,0.798,0.807,False
180,70.54802310718645,2,0.798,0.807,False
181,81.11308307896873,2,0.798,0.807,False
182,93.26033468832199,2,0.798,0.807,False
183,107.22672220103232,2,0.798,0.807,False
184,123.28467394420659,2,0.798,0.807,False
185,141.74741629268047,2,0.798,0.807,False
186,162.97508346206433,2,0.798,0.807,False
187,187.3817422860383,2,0.798,0.807,False
188,215.44346900318865,2,0.798,0.807,False
189,247.7076355991714,2,0.798,0.807,False
190,284.8035868435805,2,0.798,0.807,False
191,327.4549162877732,2,0.798,0.807,False
192,376.49358067924715,2,0.798,0.807,False
193,432.87612810830615,2,0.798,0.807,False
194,497.7023564332114,2,0.798,0.807,False
195,572.236765935022,2,0.798,0.807,False
196,657.9332246575682,2,0.798,0.807,False
197,756.463327554629,2,0.798,0.807,False
198,869.7490026177834,2,0.798,0.807,False
199,1000.0,2,0.798,0.807,False
200,0.001,3,0.692,0.692,False
201,0.0011497569953977356,3,0.692,0.692,False
202,0.0013219411484660286,3,0.692,0.692,False
203,0.0015199110829529332,3,0.692,0.692,False
204,0.001747528400007683,3,0.692,0.692,False
205,0.002009233002565048,3,0.692,0.692,False
206,0.0023101297000831605,3,0.692,0.692,False
207,0.0026560877829466868,3,0.692,0.692,False
208,0.0030538555088334154,3,0.692,0.692,False
209,0.003511191734215131,3,0.692,0.692,False
210,0.004037017258596553,3,0.692,0.692,False
211,0.004641588833612782,3,0.692,0.692,False
212,0.005336699231206312,3,0.692,0.692,False
213,0.006135907273413176,3,0.692,0.692,False
214,0.007054802310718645,3,0.692,0.692,False
215,0.008111308307896872,3,0.692,0.692,False
216,0.0093260334688322,3,0.692,0.692,False
217,0.010722672220103232,3,0.692,0.692,False
218,0.012328467394420659,3,0.692,0.692,False
219,0.014174741629268055,3,0.692,0.692,False
220,0.016297508346206444,3,0.692,0.692,False
221,0.01873817422860384,3,0.692,0.692,False
222,0.021544346900318846,3,0.692,0.692,False
223,0.024770763559917114,3,0.692,0.692,False
224,0.02848035868435802,3,0.692,0.692,False
225,0.03274549162877728,3,0.692,0.692,False
226,0.037649358067924674,3,0.692,0.692,False
227,0.04328761281083059,3,0.692,0.692,False
228,0.049770235643321115,3,0.692,0.692,False
229,0.05722367659350217,3,0.692,0.692,False
230,0.06579332246575682,3,0.692,0.692,False
231,0.07564633275546291,3,0.692,0.692,False
232,0.08697490026177834,3,0.692,0.692,False
233,0.1,3,0.692,0.692,False
234,0.11497569953977356,3,0.692,0.692,False
235,0.13219411484660287,3,0.692,0.692,False
236,0.1519911082952933,3,0.692,0.692,False
237,0.1747528400007685,3,0.692,0.692,False
238,0.2009233002565048,3,0.692,0.692,False
239,0.23101297000831605,3,0.692,0.692,False
240,0.26560877829466867,3,0.692,0.692,False
241,0.30538555088334157,3,0.692,0.692,False
242,0.3511191734215131,3,0.692,0.692,False
243,0.40370172585965536,3,0.692,0.692,False
244,0.4641588833612782,3,0.692,0.692,False
245,0.5336699231206312,3,0.696,0.693,False
246,0.6135907273413176,3,0.718,0.71,False
247,0.7054802310718645,3,0.738,0.744,False
248,0.8111308307896873,3,0.748,0.755,False
249,0.9326033468832199,3,0.752,0.763,False
250,1.072267222010323,3,0.76,0.779,False
251,1.232846739442066,3,0.784,0.794,False
252,1.4174741629268048,3,0.782,0.798,False
253,1.629750834620645,3,0.786,0.809,False
254,1.873817422860385,3,0.786,0.818,False
255,2.1544346900318843,3,0.788,0.822,False
256,2.4770763559917115,3,0.796,0.82,False
257,2.848035868435802,3,0.792,0.822,False
258,3.2745491628777286,3,0.788,0.818,False
259,3.7649358067924674,3,0.782,0.817,False
260,4.328761281083062,3,0.786,0.813,False
261,4.9770235643321135,3,0.792,0.814,False
262,5.72236765935022,3,0.792,0.82,False
263,6.5793322465756825,3,0.794,0.821,False
264,7.56463327554629,3,0.794,0.825,False
265,8.697490026177835,3,0.794,0.825,False
266,10.0,3,0.8,0.826,False
267,11.497569953977356,3,0.802,0.823,False
268,13.219411484660288,3,0.802,0.817,False
269,15.199110829529332,3,0.804,0.816,False
270,17.47528400007683,3,0.806,0.813,False
271,20.09233002565046,3,0.81,0.812,False
272,23.10129700083158,3,0.798,0.812,False
273,26.560877829466893,3,0.796,0.809,False
274,30.538555088334185,3,0.796,0.809,False
275,35.111917342151344,3,0.788,0.808,False
276,40.37017258596558,3,0.782,0.808,False
277,46.41588833612782,3,0.784,0.811,False
278,53.366992312063125,3,0.788,0.809,False
279,61.35907273413176,3,0.786,0.806,False
280,70.54802310718645,3,0.784,0.805,False
