,C,K,Validation,Test,Normalized
46,0.6135907273413176,1,0.6048438495857233,0.596,False
47,0.7054802310718645,1,0.6048438495857233,0.596,False
48,0.8111308307896873,1,0.6048438495857233,0.596,False
49,0.9326033468832199,1,0.6048438495857233,0.596,False
50,1.072267222010323,1,0.6048438495857233,0.596,False
51,1.232846739442066,1,0.6139260675589547,0.598,False
52,1.4174741629268048,1,0.6306564690885914,0.604,False
53,1.629750834620645,1,0.6490599107711919,0.622,False
54,1.873817422860385,1,0.6622052262587635,0.648,False
55,2.1544346900318843,1,0.6768642447418738,0.671,False
56,2.4770763559917115,1,0.70355321861058,0.694,False
57,2.848035868435802,1,0.7270554493307839,0.701,False
58,3.2745491628777286,1,0.7384480560866794,0.723,False
59,3.7649358067924674,1,0.7479286169534736,0.74,False
60,4.328761281083062,1,0.7483269598470363,0.756,False
61,4.9770235643321135,1,0.7563734862970045,0.77,False
62,5.72236765935022,1,0.7625079668578713,0.78,False
63,6.5793322465756825,1,0.7734225621414914,0.794,False
64,7.56463327554629,1,0.7785213511790949,0.801,False
65,8.697490026177835,1,0.7850541746335246,0.805,False
66,10.0,1,0.7893562778840025,0.812,False
67,11.497569953977356,1,0.7929413639260675,0.814,False
68,13.219411484660288,1,0.7951720841300192,0.821,False
69,15.199110829529332,1,0.7973231357552581,0.825,False
70,17.47528400007683,1,0.8001115360101976,0.831,False
71,20.09233002565046,1,0.8051306564690885,0.839,False
72,23.10129700083158,1,0.8071223709369025,0.839,False
73,26.560877829466893,1,0.8085564053537285,0.838,False
74,30.538555088334185,1,0.8090344168260039,0.836,False
75,35.111917342151344,1,0.8096717654557043,0.837,False
76,40.37017258596558,1,0.8105481198215424,0.838,False
77,46.41588833612782,1,0.8110261312938177,0.838,False
78,53.366992312063125,1,0.8111057998725303,0.839,False
79,61.35907273413176,1,0.8119821542383684,0.841,False
80,70.54802310718645,1,0.8127788400254939,0.84,False
81,81.11308307896873,1,0.8134161886551944,0.841,False
82,93.26033468832199,1,0.8138942001274697,0.839,False
83,107.22672220103232,1,0.813655194391332,0.84,False
84,123.28467394420659,1,0.8134161886551944,0.839,False
85,141.74741629268047,1,0.8131771829190567,0.839,False
86,162.97508346206433,1,0.8130975143403442,0.839,False
87,187.3817422860383,1,0.8133365200764818,0.84,False
88,215.44346900318865,1,0.8131771829190567,0.839,False
89,247.7076355991714,1,0.8131771829190567,0.839,False
90,284.8035868435805,1,0.8131771829190567,0.839,False
91,327.4549162877732,1,0.8131771829190567,0.839,False
92,376.49358067924715,1,0.8131771829190567,0.839,False
93,432.87612810830615,1,0.8131771829190567,0.839,False
94,497.7023564332114,1,0.8131771829190567,0.839,False
95,572.236765935022,1,0.8131771829190567,0.839,False
96,657.9332246575682,1,0.8131771829190567,0.839,False
97,756.463327554629,1,0.8131771829190567,0.839,False
98,869.7490026177834,1,0.8131771829190567,0.839,False
99,1000.0,1,0.8131771829190567,0.839,False
100,0.001,2,0.38647227533460804,0.463,False
101,0.0011497569953977356,2,0.38647227533460804,0.463,False
102,0.0013219411484660286,2,0.38647227533460804,0.463,False
103,0.0015199110829529332,2,0.38647227533460804,0.463,False
104,0.001747528400007683,2,0.38647227533460804,0.463,False
105,0.002009233002565048,2,0.38647227533460804,0.463,False
106,0.0023101297000831605,2,0.38647227533460804,0.463,False
107,0.0026560877829466868,2,0.38647227533460804,0.463,False
108,0.0030538555088334154,2,0.38647227533460804,0.463,False
109,0.003511191734215131,2,0.38647227533460804,0.463,False
110,0.004037017258596553,2,0.38647227533460804,0.463,False
111,0.004641588833612782,2,0.38647227533460804,0.463,False
112,0.005336699231206312,2,0.38647227533460804,0.463,False
113,0.006135907273413176,2,0.38647227533460804,0.463,False
114,0.007054802310718645,2,0.38647227533460804,0.463,False
115,0.008111308307896872,2,0.38647227533460804,0.463,False
116,0.0093260334688322,2,0.38647227533460804,0.463,False
117,0.010722672220103232,2,0.38647227533460804,0.463,False
118,0.012328467394420659,2,0.38647227533460804,0.463,False
119,0.014174741629268055,2,0.38647227533460804,0.463,False
120,0.016297508346206444,2,0.38647227533460804,0.463,False
121,0.01873817422860384,2,0.38647227533460804,0.463,False
122,0.021544346900318846,2,0.38647227533460804,0.463,False
123,0.024770763559917114,2,0.38647227533460804,0.463,False
124,0.02848035868435802,2,0.38647227533460804,0.463,False
125,0.03274549162877728,2,0.38647227533460804,0.463,False
126,0.037649358067924674,2,0.38647227533460804,0.463,False
127,0.04328761281083059,2,0.38647227533460804,0.463,False
128,0.049770235643321115,2,0.38647227533460804,0.463,False
129,0.05722367659350217,2,0.38647227533460804,0.463,False
130,0.06579332246575682,2,0.38647227533460804,0.463,False
131,0.07564633275546291,2,0.38647227533460804,0.463,False
132,0.08697490026177834,2,0.38647227533460804,0.463,False
133,0.1,2,0.38647227533460804,0.463,False
134,0.11497569953977356,2,0.38647227533460804,0.463,False
135,0.13219411484660287,2,0.38647227533460804,0.463,False
136,0.1519911082952933,2,0.38647227533460804,0.463,False
137,0.1747528400007685,2,0.38647227533460804,0.463,False
138,0.2009233002565048,2,0.38647227533460804,0.463,False
139,0.23101297000831605,2,0.38647227533460804,0.463,False
140,0.26560877829466867,2,0.38647227533460804,0.463,False
141,0.30538555088334157,2,0.38647227533460804,0.463,False
142,0.3511191734215131,2,0.38647227533460804,0.463,False
143,0.40370172585965536,2,0.38647227533460804,0.463,False
144,0.4641588833612782,2,0.38647227533460804,0.463,False
145,0.5336699231206312,2,0.38647227533460804,0.463,False
146,0.6135907273413176,2,0.38647227533460804,0.463,False
147,0.7054802310718645,2,0.38647227533460804,0.463,False
148,0.8111308307896873,2,0.38647227533460804,0.463,False
149,0.9326033468832199,2,0.38647227533460804,0.463,False
150,1.072267222010323,2,0.38647227533460804,0.463,False
151,1.232846739442066,2,0.3865519439133206,0.463,False
152,1.4174741629268048,2,0.3898980242192479,0.467,False
153,1.629750834620645,2,0.39611217335882726,0.474,False
154,1.873817422860385,2,0.3989802421924793,0.487,False
155,2.1544346900318843,2,0.4122848948374761,0.515,False
156,2.4770763559917115,2,0.42989165073295094,0.524,False
157,2.848035868435802,2,0.44702039515615044,0.536,False
158,3.2745491628777286,2,0.4583333333333333,0.546,False
159,3.7649358067924674,2,0.49641491395793497,0.564,False
160,4.328761281083062,2,0.5163320586360739,0.601,False
161,4.9770235643321135,2,0.5736934353091141,0.638,False
